Date,Close,Volume,MA5,MA20,Daily_Return,Volatility,mean_compound,sentiment_sum,pos_ratio,neg_ratio,doc_count,Target,Return_Magnitude
2026-03-24,372.739990234375,42733600,383.6839965820312,397.8809982299805,-0.02678853724706265,0.011657714622505498,0.053675,0.0,0.125,0.125,8.0,0,-0.004560770869753483
2026-03-25,371.0400085449219,31181200,379.53399658203125,396.40299835205076,-0.004560770869753483,0.011781664864132638,0.053675,0.0,0.125,0.125,8.0,0,-0.013664314379738696
2026-03-26,365.9700012207031,36836600,374.9239990234375,394.6154983520508,-0.013664314379738696,0.011632379499420914,0.053675,0.0,0.125,0.125,8.0,0,-0.02513870584021738
2026-03-27,356.7699890136719,37883400,369.90399780273435,392.81699829101564,-0.02513870584021738,0.012873090272101031,0.053675,0.0,0.125,0.125,8.0,1,0.0061384155305796995
2026-03-30,358.9599914550781,44797000,365.09599609375,390.8374984741211,0.0061384155305796995,0.013921371306621223,0.053675,0.0,0.125,0.125,8.0,1,0.031229168262500107
2026-03-31,370.1700134277344,45244400,364.5820007324219,389.1494995117188,0.031229168262500107,0.0214780052898336,0.053675,0.0,0.125,0.125,8.0,0,-0.0021612185793732364
2026-04-01,369.3699951171875,29417200,364.247998046875,387.3579986572266,-0.0021612185793732364,0.02141081966368845,0.053675,0.0,0.125,0.125,8.0,1,0.011072898156205158
2026-04-02,373.4599914550781,24099100,365.74599609375,385.4969985961914,0.011072898156205158,0.02051091740821728,0.053675,0.0,0.125,0.125,8.0,0,-0.0015530085833448393
2026-04-06,372.8800048828125,16146600,368.96799926757814,383.6929992675781,-0.0015530085833448393,0.01362484217461334,0.053675,0.0,0.125,0.125,8.0,0,-0.0015822686391459007
2026-04-07,372.2900085449219,21443300,371.6340026855469,381.8369995117188,-0.0015822686391459007,0.014435839498136453,0.053675,0.0,0.125,0.125,8.0,1,0.005479540091115842
2026-04-08,374.3299865722656,33064800,372.46599731445315,380.26549835205077,0.005479540091115842,0.005849817530806942,0.053675,0.0,0.125,0.125,8.0,0,-0.0033659586280663234
2026-04-09,373.07000732421875,30435300,373.20599975585935,378.6749984741211,-0.0033659586280663234,0.006096601234620741,0.053675,0.0,0.125,0.125,8.0,0,-0.005897049250381925
2026-04-10,370.8699951171875,28111100,372.68800048828126,377.12549896240233,-0.005897049250381925,0.004227050690540836,0.053675,0.0,0.125,0.125,8.0,1,0.036400895671633515
2026-04-13,384.3699951171875,35745800,374.9859985351562,376.5664993286133,0.036400895671633515,0.017399876327337603,0.053675,0.0,0.125,0.125,8.0,1,0.022738482049594833
2026-04-14,393.1099853515625,37504500,379.1499938964844,376.22449798583983,0.022738482049594833,0.01806473529872777,0.053675,0.0,0.125,0.125,8.0,1,0.04606857252161789
2026-04-15,411.2200012207031,45063400,386.5279968261719,376.8149978637695,0.04606857252161789,0.02328838562503966,0.053675,0.0,0.125,0.125,8.0,1,0.0219833872819577
2026-04-16,420.260009765625,41642400,395.96599731445315,378.2384979248047,0.0219833872819577,0.01962116700432669,0.053675,0.0,0.125,0.125,8.0,1,0.0060200797613549906
2026-04-17,422.7900085449219,48568200,406.35,379.9269989013672,0.0060200797613549906,0.01528750701913694,0.053675,0.0,0.125,0.125,8.0,0,-0.011163937475598185
2026-04-20,418.07000732421875,27582200,413.0900024414062,381.73699951171875,-0.011163937475598185,0.0213097902491245,0.053675,0.0,0.125,0.125,8.0,1,0.014566929536200313
2026-04-21,424.1600036621094,32048500,419.3000061035156,383.79499969482424,0.014566929536200313,0.02108421733132045,0.053675,0.0,0.125,0.125,8.0,1,0.02065260677572822
2026-04-22,432.9200134277344,29378200,423.6400085449219,386.8040008544922,0.02065260677572822,0.013609192769723324,0.053675,0.0,0.125,0.125,8.0,0,-0.03966093711350327
2026-04-23,415.75,38308000,422.7380065917969,389.0395004272461,-0.03966093711350327,0.02426012654334201,0.053675,0.0,0.125,0.125,8.0,1,0.021334925116506254
2026-04-24,424.6199951171875,27457400,423.10400390625,391.9720001220703,0.021334925116506254,0.0263863716342492,0.053675,0.0,0.125,0.125,8.0,1,0.00047103812663373823
2026-04-27,424.82000732421875,30867300,424.45400390625,395.37450103759767,0.00047103812663373823,0.025528468600530117,0.053675,0.0,0.125,0.125,8.0,1,0.01042792853303709
2026-04-28,429.25,30438100,425.4720031738281,398.8890014648438,0.01042792853303709,0.025142989104399098,0.053675,0.0,0.125,0.125,8.0,0,-0.011159018159398681
2026-04-29,424.4599914550781,38288300,423.7799987792969,401.60350036621094,-0.011159018159398681,0.023412431889254865,0.053675,0.0,0.125,0.125,8.0,0,-0.039296972651300055
2026-04-30,407.7799987792969,70909400,422.1859985351563,403.5240005493164,-0.039296972651300055,0.023272888557975734,0.053675,0.0,0.125,0.125,8.0,1,0.016332345093055922
2026-05-01,414.44000244140625,31372400,420.15,405.5730010986328,0.016332345093055922,0.022003452393972132,0.053675,0.0,0.125,0.125,8.0,0,-0.001978591157678289
2026-05-04,413.6199951171875,28066500,417.9099975585938,407.61000061035156,-0.001978591157678289,0.021888031756909513,0.04798888888888889,0.0,0.4444444444444444,0.4444444444444444,9.0,0,-0.005415575312649912
2026-05-05,411.3800048828125,25700900,414.33599853515625,409.5645004272461,-0.005415575312649912,0.020149558154203898,0.05204285714285715,1.0,0.42857142857142855,0.2857142857142857,7.0,1,0.006271541012307091
2026-05-06,413.9599914550781,30231400,412.2359985351562,411.5460006713867,0.006271541012307091,0.021021024652874625,0.15560000000000002,2.0,0.4,0.0,5.0,1,0.01712725017934491
